player_name,birth_year,action_start,retired
GeT_RiGhT,1990,2003,1
f0rest,1988,2003,0
shox,1992,2006,1
Dosia,1988,2007,1
NBK,1994,2009,0
Xizt,1991,2008,0
ScreaM,1994,2010,0
JW,1995,2009,1
Hiko,1990,2008,1
GuardiaN,1991,2006,0
friberg,1991,2007,0
kennyS,1995,2011,1
flusha,1993,2009,0
Nico,1991,2010,1
markeloff,1988,2004,1
Edward,1987,2001,1
SmithZz,1988,2005,1
dupreeh,1993,2012,0
pasha,1988,2004,1
Xyp9x,1995,2011,0
Snax,1993,2010,0
KRIMZ,1994,2013,0
Happy,1991,2007,1
olofmeister,1992,2010,1
byali,1994,2013,0
apEX,1993,2009,0
swag,1996,2012,1
kioShiMa,1994,2011,1
device,1995,2009,0
flamie,1997,2012,0
cajunb,1989,2010,0
NEO,1987,2002,0
allu,1992,2009,0
Skadoodle,1993,2012,0
coldzera,1994,2012,0
FalleN,1991,2004,0
s1mple,1997,2013,0
NiKo,1997,2009,0
Magisk,1998,2015,0
fer,1991,2011,0
Kjaerbye,1998,2014,1
fnx,1990,2004,0
dennis,1991,2008,1
rain,1994,2013,0
HObbit,1994,2014,0
EliGE,1997,2014,0
k0nfig,1997,2015,0
oskar,1991,2006,0
AdreN,1990,2009,1
boltz,1997,2014,0
electroNic,1998,2015,0
NAF,1997,2013,0
gla1ve,1995,2010,0
Twistzz,1999,2015,0
suNny,1994,2012,0
autimatic,1996,2012,0
ropz,1999,2015,0
valde,1995,2016,0
ZywOo,2000,2016,0
Brehze,1998,2015,0
woxic,1998,2012,0
sergej,2002,2015,1
jks,1995,2010,0
CeRq,1999,2016,0
Brollan,2002,2016,0
Ethan,2000,2016,1
blameF,1997,2015,0
syrsoN,1996,2012,0
stavn,2002,2016,0
huNter-,1996,2015,0
yuurih,1999,2016,0
HEN1,1995,2010,0
KSCERATO,1999,2017,0
sh1ro,2001,2018,0
Ax1Le,2002,2018,0
YEKINDAR,1999,2017,0
b1t,2003,2019,0
Jame,1998,2017,0
broky,2001,2017,0
